Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Item Text, £ ,Postal Code
Department for Transport,DVSA,12/03/2025,IT SERVICE RUNNING COSTS,TS APPLICATIONS & PLATFORM ENGAGMENT,JENOPTIK UK LTD,5100008856,"JENO024 ANPR,  BOFS & NAS MAINTENANCE - MARCH 2025","£29,372.39",#
Department for Transport,National Highways,10/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8830010246863518,Renewals of Structures,"£29,326.77",EN1 1TH
Department for Transport,National Highways,28/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,ACTICA CONSULTING LIMITED,1017887,Renewals of Technology,"£29,325.00",GU2 7RF
Department for Transport,National Highways,25/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,WINVIC CONSTRUCTION LTD,1016932,RIS 3 Development,"£29,284.92",NN3 6PZ
Department for Transport,National Highways,12/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,PINSENT MASONS LLP,1013399,Feasibility,"£29,279.38",EC2A 4ES
Department for Transport,National Highways,07/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,BJSS LIMITED,1012788,Corporate Support Services,"£29,250.00",LS1 4HR
Department for Transport,DVSA,21/03/2025,ESTATE MANAGEMENT,FACILITIES,MITIE FM LIMITED,5100009218,MOBILISATION FEE - MILESTONES FOR FEBRUARY 2025,"£29,184.81",#
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,BAE SYSTEMS APPLIED INTELLIGENCE,1017638,Renewals of Technology,"£29,183.36",GU2 7YP
Department for Transport,Department for Transport,27/03/2025,Subsidies Private Se,DG Public Transport and Local Group,HALTON COMMUNITY TRANSPORT DIESEL,2000037983,Halton Community Transport (Diesel),"£29,154.62",WA8 0PP
Department for Transport,British Transport Police,26/03/2025,Business Rates,Estates & Fm,Southampton City Council,586923,Business Rates,"£29,137.50",SO14 7LD
Department for Transport,EWR,12/03/2025,Management Consultancy,Commercial,Aspire CP LLP,19596,50% of fixed price L&P Property Report,"£29,100.00",W1T 1JU
Department for Transport,EWR,27/03/2025, Management Consultancy,Commercial,Aspire CP LLP,19815,Land + Property Funding Strategy,"£29,100.00",W1T 1JU
Department for Transport,Driver & Vehicle Licensing Agency,27/03/2025,Computer equipment,Information Services,XMA Ltd,2000036489,#,"£29,097.36",NG11 7EP
Department for Transport,DVSA,07/03/2025,IT SERVICE RUNNING COSTS,TS LIVE SERVICES - USER SERVICE TEAM,FLYFORM LIMITED,5100008549,SERVICENOW MANAGED SERVICES FOR MARCH 2025,"£29,083.41",#
Department for Transport,National Highways,25/03/2025,ICT Hardware Maintenance,DIGITAL SERVICES,ACTICA CONSULTING LIMITED,1017013,Corporate Support Services,"£29,081.26",GU2 7RF
Department for Transport,National Highways,11/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9100209200000001,Routine Maintenance,"£29,071.77",OX4 4DQ
Department for Transport,National Highways,13/03/2025,CM - Third Party Damage,OPERATIONS DIRECTORATE,Amey Highways Limited,CONF9073051443530056,Routine Maintenance,"£29,051.47",CB25 9PG
Department for Transport,National Highways,14/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,CH2M COSTAIN JOINT VENTURE (CHC) (AREA 14 M&C),CONF9140046200000003,Routine Maintenance,"£29,035.19",DL17 0LG
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,JACOBS UK LIMITED,1015539,Renewals of Structures,"£29,028.98",G2 7HX
Department for Transport,National Highways,18/03/2025,RM Cost Reimbursable,OPERATIONS DIRECTORATE,Colas Limited,CONF9260005060034187,Routine Maintenance,"£29,026.72",B37 7YB
Department for Transport,EWR,21/03/2025,Marketing & Communications Consultancy,Secure Investment,AECOM,19742,TO2638-06 February 2025,"£29,006.44",RG12 7PP
Department for Transport,Department for Transport,12/03/2025,Training,"DG Decarbonisation, Technology & Strategy ",PA CONSULTING SERVICES LIMITED,2000036179,#,"£29,000.00",SW1E 5DN
Department for Transport,Department for Transport,27/03/2025,Training,"DG Decarbonisation, Technology & Strategy ",PA CONSULTING SERVICES LIMITED,2000038074,#,"£29,000.00",SW1E 5DN
Department for Transport,National Highways,26/03/2025,TA Cost AUC – Non SRN,FINANCE & BUSINESS SERVICES,Gleeds Cost Management Limited,1017256,Corporate Support Services,"£28,998.28",W1W 6XF
Department for Transport,Department for Transport,11/03/2025,CurrGrtPriSec-P&NPIS,DG Public Transport and Local Group,CORNWALL MOBILITY CENTRE LTD,2000036005,"""Mobility Centres -Add grant Mar2025 (#372,538.88)","£28,996.32",TR1 3LJ
Department for Transport,National Highways,10/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8800023000000002,Routine Maintenance,"£28,991.95",EN1 1TH
Department for Transport,Department for Transport,21/03/2025,Financial Consultanc,DG Rail Services Group,Ernst and Young LLP,2000037211,Provide Financial Support to Project Team,"£28,924.38",SE1 2AF
Department for Transport,Maritime and Coastguard Agency,04/03/2025,CG - Vehicles Fuel/Oil,Central Finance,Allstar Business Solutions Ltd,233147133,Allstar Fuel Invoice January 2025,"£28,914.50",SN5 6PS
Department for Transport,National Highways,06/03/2025,RM Cost Reimbursable,"SAFETY, ENGINEERING AND STANDARDS",FUTRAN JOINT VENTURE,1012694,Routine Maintenance,"£28,868.10",RG40 3GA
Department for Transport,High Speed Two (HS2) Limited,01/03/2025,SAAS,P40230 - CIO,BYTES SOFTWARE SERVICES LIMITED,#,BAU 204 SAMaaS Service ,"£28,800.00",#
Department for Transport,National Highways,19/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076910640595711,Renewals of Structures,"£28,798.27",M50 3XP
Department for Transport,National Highways,31/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,SOUTH GLOUCESTERSHIRE COUNCIL,1018118,RIS 2 Schemes,"£28,792.33",BS35 1HF
Department for Transport,Department for Transport,28/03/2025,Training,"DG Decarbonisation, Technology & Strategy ",Ernst and Young LLP,2000038192,#,"£28,773.00",SE1 2AF
Department for Transport,National Highways,26/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF9211303054533943,Renewals of Roads,"£28,762.67",EN1 1TH
Department for Transport,National Highways,28/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",OVE ARUP & PARTNERS,1017877,RIS 3 Development,"£28,745.04",NE1 3PL
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF9211303054543364,Safety,"£28,728.30",EN1 1TH
Department for Transport,Department for Transport,12/03/2025,Cap Grt Pri Sec-Cos.,DG Road Transport Group,SED EV Charging Ltd,2000036195,Dynamics Mar 25 Pt 6 #55850,"£28,700.00",E2 9FN
Department for Transport,Maritime and Coastguard Agency,25/03/2025,Technical Advice,Integrated Security Fund (ISF),Government of Anguilla,233147977,Watercraft Consultancy,"£28,686.90",#
Department for Transport,Driver & Vehicle Licensing Agency,21/03/2025,Services prov by OGD,Operations,Driver Vehicle Licensing (DVA)NI,2000035832,#,"£28,686.13",BT51 3HS
Department for Transport,National Highways,10/03/2025,RM Cost Reimbursable,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8830010246859526,Routine Maintenance,"£28,681.22",EN1 1TH
Department for Transport,National Highways,19/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,1014912,Renewals of Roads,"£28,677.50",DL16 6TL
Department for Transport,National Highways,25/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM AG,1017002,Renewals of Technology,"£28,668.10",AM Europlatz 2
Department for Transport,Department for Transport,07/03/2025,Medical Advisory Ser,DG Corporate Delivery Group,HEALIX INTERNATIONAL LTD,2000035738,#,"£28,644.00",KT10 8AB
Department for Transport,Department for Transport,21/03/2025,Transport  Consult,DG Rail Services Group,COSTAIN LTD,2000037229,Provide Technical Support to Project Team,"£28,599.66",SL6 4UB
Department for Transport,Driver & Vehicle Licensing Agency,17/03/2025,GR/IR  Non Sec stock,Operations,APS Group Ltd,2000032812,#,"£28,546.56",SK3 0ZP
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES t/a AGC Services,1015786,Renewals of Roads,"£28,540.71",LS15 8ZB
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,1015658,Renewals of Structures,"£28,436.06",CV21 2DW
Department for Transport,National Highways,20/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Octavius Infrastructure Ltd,1015252,Renewals of Roads,"£28,413.77",RH2 9PY
Department for Transport,National Highways,25/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Chevron Traffic Management Ltd,1016805,Landscape,"£28,363.08",EC2M 5QQ
Department for Transport,National Highways,19/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,1014917,Renewals of Roads,"£28,361.81",DL16 6TL
Department for Transport,National Highways,12/03/2025,Contractor Costs,FINANCE & BUSINESS SERVICES,AMALGAMATED CONSTRUCTION LTD (AMCO),1013433,Protocol HRE,"£28,305.45",LS25 3AA
Department for Transport,British Transport Police,26/03/2025,Business Rates,Estates & Fm,Milton Keynes Council,586772,Business Rates,"£28,305.00",MK9 3HE
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,FINANCE & BUSINESS SERVICES,ARCADIS CONSULTING (UK) LIMITED,1017315,Corporate Support Other,"£28,269.75",CF3 0EY
Department for Transport,National Highways,03/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MALCOLM HUGHES LAND SURVEYORS,1012276,Renewals of Roads,"£28,247.35",WA3 6BX
Department for Transport,National Highways,19/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076910640715368,Renewals of Structures,"£28,246.44",M50 3XP
Department for Transport,National Highways,10/03/2025,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,HOLBROOK GROUP HOLDINGS LTD,1012866,Non MA,"£28,200.00",NR16 2QN
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",Atkins Jacobs SPaTS 2 Joint Venture,1017434,Innovation Operations,"£28,200.00",SE1 2QG
Department for Transport,National Highways,14/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,CROWN HIGHWAYS LTD,1013768,Renewals of Technology,"£28,189.10",WS7 4QF
Department for Transport,High Speed Two (HS2) Limited,01/03/2025,Modelling And Analysis,P40210 - Sponsorship,STEER DAVIES & GLEAVE LIMITED,#,Economic Commercial Analysis (ECA) WP3 Model Audit & Assurance ,"£28,166.47",#
Department for Transport,National Highways,20/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,WILSON & SCOTT (HIGHWAYS) LTD,1015480,Renewals of Roads,"£28,139.75",SL3 0HQ
Department for Transport,National Highways,19/03/2025,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",TRL Limited,1014383,Business Services General,"£28,098.00",RG40 3GA
Department for Transport,National Highways,18/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,VolkerLaser Ltd,1014052,Renewals of Structures,"£28,081.86",EN11 9BX
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LIMITED,1016121,Renewals of Roads,"£28,043.49",DE55 5JY
Department for Transport,National Highways,14/03/2025,CM - Third Party Damage,OPERATIONS DIRECTORATE,Amey Highways Limited,CONF9073051643533725,Routine Maintenance,"£28,021.70",CB25 9PG
Department for Transport,Department for Transport,18/03/2025,Research,DG Public Transport and Local Group,SYSTRA LIMITED,2000036732,#,"£28,000.00",GU21 5BH
Department for Transport,National Highways,19/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076910640717423,Renewals of Roads,"£27,924.91",M50 3XP
Department for Transport,National Highways,25/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,GALLIFORD TRY CONSTRUCTION LIMITED,1016823,Renewals of Roads,"£27,917.58",LE10 1YL
Department for Transport,Department for Transport,25/03/2025,IT Consultancy,DG Road Transport Group,KAINOS SOFTWARE LIMITED,2000037586,#,"£27,913.29",BT7 1NT
Department for Transport,Department for Transport,12/03/2025,Building Service Cha,DG Corporate Delivery Group,Amey Rail Ltd,2000036190,#,"£27,892.58",L19 2PH
Department for Transport,British Transport Police,26/03/2025,Auc - It Equipment,Capital Control Account,Teqex Ltd,586171,Auc - It Equipment,"£27,875.88",OL10 1ND
Department for Transport,National Highways,06/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",OFFICE OF RAIL AND ROAD (ORR),1012652,Corporate Support Other,"£27,872.00",WC2B 4AN
Department for Transport,Maritime and Coastguard Agency,05/03/2025,Other Prosecution Costs,Regulatory Compliance Investigations Team,DWF LAW LLP,233147315,Legal Services,"£27,854.04",M3 3AA
Department for Transport,National Highways,28/03/2025,ICT Hardware Maintenance,DIGITAL SERVICES,NEC Software Solutions UK Limited,1017858,Corporate Support Services,"£27,838.39",HP2 7DX
Department for Transport,National Highways,28/03/2025,ICT Hardware Maintenance,DIGITAL SERVICES,NEC Software Solutions UK Limited,1017856,Corporate Support Services,"£27,838.38",HP2 7DX
Department for Transport,National Highways,18/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076699100000001,Routine Maintenance,"£27,784.74",M50 3XP
Department for Transport,National Highways,17/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,AMALGAMATED CONSTRUCTION LTD (AMCO),1013991,Renewals of Structures,"£27,784.10",LS25 3AA
Department for Transport,Driver & Vehicle Licensing Agency,14/03/2025,Medical Advisory Ser,Operations,The Royal Wolverhampton NHS Trust,100033337,SR 9001241232 - IDN to match 5106340663,"£27,763.05",WV10 0QA
Department for Transport,Driver & Vehicle Licensing Agency,14/03/2025,Medical Advisory Ser,Operations,The Royal Wolverhampton NHS Trust,2000035026,#,"£27,763.05",WV10 0QA
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,P J Chaffin Limited,1016269,Renewals of Roads,"£27,736.57",BN26 6QU
Department for Transport,DVSA,03/03/2025,MACHINERY MAINTENANCE,GOVERNMENT FLEET,SWARCO SMART CHARGING LTD,5100008483,SWARCO DRIVE POLYCARBONATE 7KW,"£27,736.40",#
Department for Transport,National Highways,12/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF9211174300000002,Routine Maintenance,"£27,726.59",EN1 1TH
Department for Transport,National Highways,28/03/2025,ICT Other costs,DIGITAL SERVICES,TELEFONICA O2 UK LIMITED,1017758,Corporate Support Services,"£27,719.06",MK77 1UB
Department for Transport,National Highways,27/03/2025,PFI Service Payments,OPERATIONS DIRECTORATE,NETWORK RAIL,1017462,Operate Roads PFI Management Cost,"£27,706.06",M60 7WY
Department for Transport,National Highways,13/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9122018252045878,Other Capital,"£27,677.78",OX4 4DQ
Department for Transport,Department for Transport,04/03/2025,Research,DG Road Transport Group,TRL LIMITED,2000035106,#,"£27,660.00",RG40 3GA
Department for Transport,National Highways,13/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,Amey Highways Limited,CONF9077616200000011,Routine Maintenance,"£27,657.95",CB25 9PG
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,NORTHERN POWERGRID (NORTHEAST) LTD (CIS) DIVERT/CONNECT,1017080,Feasibility,"£27,636.82",DH4 7LA
Department for Transport,Department for Transport,31/03/2025,Research,DG Road Transport Group,EURO NCAP,2000038348,#,"£27,634.62",3000
Department for Transport,National Highways,20/03/2025,ICT Other costs,DIGITAL SERVICES,BRITISH TELECOM PLC (NON CIS) CHARGES,1015276,Corporate Support Services,"£27,609.54",NE82 6AA
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,FINANCE & BUSINESS SERVICES,ARCADIS CONSULTING (UK) LIMITED,1017257,Corporate Support Other,"£27,607.58",CF3 0EY
Department for Transport,Department for Transport,05/03/2025,Subsidies Private Se,DG Public Transport and Local Group,FIRST YORK LTD,2000035354,FIRST YORK LTD,"£27,596.52",LS10 1PL
Department for Transport,Department for Transport,20/03/2025,IT Consultancy,DG Corporate Delivery Group,JACOBS UK LTD,2000037063,#,"£27,594.98",G2 7HX
Department for Transport,National Highways,18/03/2025,Contractor Costs,FINANCE & BUSINESS SERVICES,DYER & BUTLER LTD,1014115,Protocol HRE,"£27,582.23",SG1 2ST
Department for Transport,Department for Transport,31/03/2025,Financial Consultanc,DG Rail Services Group,Amberside Advisors Ltd,2000038387,#,"£27,562.50",HP2 5HA
Department for Transport,National Highways,14/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9133328159206276,Renewals of Roads,"£27,545.86",M50 3XP
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,BAE SYSTEMS APPLIED INTELLIGENCE,1017636,Renewals of Technology,"£27,515.75",GU2 7YP
Department for Transport,British Transport Police,05/03/2025,Annual Licences - Software,Investigations,Recipero Ltd,584962,Annual Licences - Software,"£27,514.66",GL17 1LF
Department for Transport,Department for Transport,12/03/2025,Transport  Consult,DG Rail Services Group,Ove Arup & Partners Limited,2000036126,"Consultancy support to assess the impact of traincrew availability upon performance, including general resourcing issues","£27,500.00",W1T 4BJ
Department for Transport,British Transport Police,05/03/2025,Wan Recurring Charges,Technology,4net Technologies Ltd T/A Fournet,584829,Wan Recurring Charges,"£27,489.72",M32 0TR
Department for Transport,British Transport Police,26/03/2025,Wan Recurring Charges,Technology,4net Technologies Ltd T/A Fournet,586053,Wan Recurring Charges,"£27,489.72",M32 0TR
Department for Transport,National Highways,31/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,1017960,Renewals of Structures,"£27,481.08",OX4 4DQ
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,AtkinsRéalis UK Limited,1017815,Corporate Support Services,"£27,450.00",KT18 5BW
Department for Transport,High Speed Two (HS2) Limited,06/03/2025,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,Development Services Agreement - Layered Information Exchange (LINX),"£27,401.47",#
Department for Transport,National Highways,20/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,M J CHURCH PLANT LTD,1014980,Winter Maintenance - Assets,"£27,372.88",SN14 8LH
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,1015811,Renewals of Roads,"£27,370.28",OX4 4DQ
Department for Transport,Maritime and Coastguard Agency,27/03/2025,Corporate Travel Contracts (Finance Only),Central Finance,Enterprise Rent A Car Ltd,233148071,Car Hire Charges for February 2025,"£27,369.49",TW20 9FB
Department for Transport,National Highways,11/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,Colas Limited,CONF6260006500000009,Routine Maintenance,"£27,335.99",B37 7YB
Department for Transport,National Highways,13/03/2025,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076913340596972,Routine Maintenance,"£27,326.07",M50 3XP
Department for Transport,High Speed Two (HS2) Limited,11/03/2025,Professional Services,200000 - L&P 102 Balance Sheet,CABINET OFFICE,#,Complex Transactions Support,"£27,324.00",#
Department for Transport,National Highways,11/03/2025,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9100327758180989,Routine Maintenance,"£27,276.69",OX4 4DQ
Department for Transport,National Highways,27/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES,1017366,Renewals of Structures,"£27,265.09",ST19 5DJ
Department for Transport,DVSA,19/03/2025,OTHER PROFESSIONAL FEES,T3 CONTRACT RE-LETS,CABINET OFFICE,5100009154,DRIVING THEORY TEST - 01/10/24 TO 31/12/24,"£27,260.00",#
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,WJ NORTH LIMITED,1015572,Renewals of Roads,"£27,209.96",ST5 6AZ
Department for Transport,National Highways,14/03/2025,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,FORESTRY ENGLAND,1013784,RIS 2 Schemes,"£27,089.87",IP27  0TJ
Department for Transport,National Highways,31/03/2025,Staff reward scheme costs,HR & EMPLOYEE COMMUNICATION,Terryberry Ltd.,1018070,Corporate Support Services,"£27,084.00",M2 7HD
Department for Transport,National Highways,28/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",OVE ARUP & PARTNERS,1017882,RIS 3 Development,"£27,063.87",NE1 3PL
Department for Transport,National Highways,26/03/2025,CM - Time Based Charges,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR WEST YORKSHIRE,1017072,Routine Maintenance,"£27,019.21",WF1 3QP
Department for Transport,National Highways,25/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",Atkins Jacobs SPaTS 2 Joint Venture,1016797,Corporate Support Other,"£27,013.17",SE1 2QG
Department for Transport,Maritime and Coastguard Agency,24/03/2025,Training,Central HR Services,Cabinet Office,233148041,Sales Fees and Charges,"£27,000.00",SW1A2HQ
Department for Transport,National Highways,26/03/2025,Contractor Costs,OPERATIONS DIRECTORATE,BORIS SOFTWARE LTD,1017122,Customer Operations Traffic Management,"£27,000.00",BS4 2DB
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,VolkerLaser Ltd,1015553,Renewals of Structures,"£26,995.91",EN11 9BX
Department for Transport,National Highways,19/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,MWAY COMMUNICATIONS LTD,1014501,Renewals of Technology,"£26,984.45",S61 1EE
Department for Transport,Department for Transport,19/03/2025,Publicity,DG Corporate Delivery Group,Verian Group UK Ltd,2000036934,#,"£26,955.00",SW1P 3JA
Department for Transport,National Highways,10/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8800023000000001,Routine Maintenance,"£26,930.18",EN1 1TH
Department for Transport,National Highways,26/03/2025,CM - Third Party Damage,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF9211032654544159,Routine Maintenance,"£26,926.79",EN1 1TH
Department for Transport,National Highways,31/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LIMITED,1018055,Winter Maintenance - Assets,"£26,917.34",DE55 5JY
Department for Transport,Department for Transport,20/03/2025,Small Software,DG Road Transport Group,VERSION1 SOLUTIONS LIMITED,2000037096,#,"£26,910.00",B97 4DL
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,SERVICENOW UK LTD,1017907,Corporate Support Services,"£26,908.00",TW18 4TW
Department for Transport,British Transport Police,12/03/2025,Surveys - Non Premises,Analysis & Performance,Snap Surveys Ltd,585214,Surveys - Non Premises,"£26,907.72",BS35 3UW
Department for Transport,DVSA,18/03/2025,PROPERTY MAINTENANCE - OTHER,PROPERTY INVESTMENT,ATKINSRÉALIS PPS LIMITED,5100009098,RAAC SURVEYS - PHASE 2,"£26,896.28",#
Department for Transport,National Highways,20/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management Ltd,1015459,Renewals of Roads,"£26,891.28",EC2M 5QQ
Department for Transport,National Highways,26/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,BJSS LIMITED,1017164,Corporate Support Services,"£26,880.00",LS1 4HR
Department for Transport,Department for Transport,11/03/2025,CurrGrtPriSec-P&NPIS,DG Public Transport and Local Group,KENT COMMUNITY HEALTH NHS TRUST,2000035994,"""Mobility Centres -Add grant Mar2025 (#372,538.88)","£26,866.95",ME20 6XS
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM AG,1017734,Renewals of Technology,"£26,849.60",AM Europlatz 2
Department for Transport,National Highways,24/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,JACOBS UK LIMITED,1016293,Carbon,"£26,844.18",G2 7HX
Department for Transport,DVSA,17/03/2025,OCCUPATIONAL HEALTH SCHEME,PEOPLE DIRECTOR,REWARD GATEWAY (UK) LTD,5100009047,SMARTTECH - SMART PAY - 82393,"£26,815.00",#
Department for Transport,National Highways,21/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",OVE ARUP & PARTNERS,1016238,RIS 3 Development,"£26,811.00",NE1 3PL
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",KZSS LTD,1017120,Freight,"£26,810.99",IG6 3XH
Department for Transport,National Highways,21/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AMEY OW LIMITED,1016037,Operate General Other,"£26,807.78",OX4 4DQ
Department for Transport,National Highways,13/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9122018252055787,Renewals of Roads,"£26,787.26",OX4 4DQ
Department for Transport,National Highways,13/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9260000312021797,TM - Network Resilience,"£26,785.01",OX4 4DQ
Department for Transport,High Speed Two (HS2) Limited,25/03/2025,AUC - Phase 1,AUC - 000000,SEVERN TRENT WATER LIMITED,#,STW – PMO costs FY 2024-25,"£26,777.83",#
Department for Transport,National Highways,21/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Mason Street Furniture Ltd,1015780,Renewals of Technology,"£26,774.43",NN29 7XA
Department for Transport,National Highways,19/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,JACOBS UK LIMITED,1014508,RIS 1 Schemes,"£26,771.31",G2 7HX
Department for Transport,Active Travel England,31/03/2025,Research,Planning Division,UNIVERSITY OF THE WEST OF ENGLAND,2000038375,#,"£26,765.00",BS16 1QY
Department for Transport,National Highways,12/03/2025,Contractor Costs,FINANCE & BUSINESS SERVICES,HAMMOND (ECS) LTD,1013441,Protocol HRE,"£26,748.22",CF44 0AE
Department for Transport,Department for Transport,03/03/2025,Research,DG Road Transport Group,Lacuna Agency,2000034930,#,"£26,732.00",SE11 5JH
Department for Transport,National Highways,19/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076910640715312,Renewals of Structures,"£26,719.41",M50 3XP
